scenario,sam_util,yh_util,yd_util,ys_util,gen_sam,gen_yh,gen_yd,gen_ys,gen_bd,SOx_total,NOx_total,dust_total,social_cost_krw,gen_cost_krw,total_cost_krw
S0_normal,0.538,0.857,0.675,0.645,21839.0,69964.0,4440.0,8718.0,1645.0,20652.0,27137.0,6303.0,72981149.0,7042147860.0,7115129009.0
S0_normal,0.5,0.857,0.45,0.45,20305.0,69964.0,2960.0,6083.0,7295.0,20607.0,27120.0,6381.0,72982620.0,7345501750.0,7418484370.0
S0_normal,0.538,0.857,0.45,0.84,21839.0,69964.0,2960.0,11354.0,490.0,20647.0,27146.0,6302.0,72997686.0,6971188515.0,7044186201.0
S0_normal,0.538,0.857,0.788,0.645,21839.0,69964.0,5181.0,8718.0,905.0,20654.0,27157.0,6314.0,73032124.0,7005143863.0,7078175987.0
S0_normal,0.5,0.857,0.9,0.548,20305.0,69964.0,5921.0,7400.0,3017.0,20606.0,27151.0,6364.0,73034251.0,7125002092.0,7198036342.0
S0_normal,0.538,0.857,0.9,0.548,21839.0,69964.0,5921.0,7400.0,1483.0,20668.0,27138.0,6364.0,73038153.0,7040623536.0,7113661689.0
S0_normal,0.5,0.857,0.788,0.548,20305.0,69964.0,5181.0,7400.0,3757.0,20605.0,27177.0,6319.0,73055011.0,7162006089.0,7235061099.0
S0_normal,0.5,0.857,0.562,0.645,20305.0,69964.0,3700.0,8718.0,3920.0,20596.0,27193.0,6315.0,73081443.0,7163530413.0,7236611856.0
S0_normal,0.538,0.857,0.562,0.742,21839.0,69964.0,3700.0,10036.0,1067.0,20650.0,27189.0,6315.0,73099858.0,7006668187.0,7079768046.0
S0_normal,0.5,0.857,0.788,0.645,20305.0,69964.0,5181.0,8718.0,2439.0,20592.0,27211.0,6314.0,73117913.0,7089522419.0,7162640331.0
S0_normal,0.538,0.857,0.675,0.548,21839.0,69964.0,4440.0,7400.0,2963.0,20666.0,27241.0,6308.0,73213695.0,7114631530.0,7187845225.0
S0_normal,0.5,0.857,0.45,0.84,20305.0,69964.0,2960.0,11354.0,2024.0,20584.0,27299.0,6302.0,73291831.0,7055567070.0,7128858901.0
S0_normal,0.538,0.857,0.9,0.45,21839.0,69964.0,5921.0,6083.0,2801.0,20667.0,27237.0,6438.0,73305591.0,7113107206.0,7186412797.0
S0_normal,0.5,0.816,0.675,0.742,20305.0,66582.0,4440.0,10036.0,5243.0,20423.0,27364.0,6303.0,73350783.0,7240029763.0,7313380545.0
S0_normal,0.538,0.857,0.45,0.742,21839.0,69964.0,2960.0,10036.0,1808.0,20649.0,27318.0,6302.0,73364981.0,7043672185.0,7117037165.0
S0_normal,0.538,0.857,0.675,0.45,21839.0,69964.0,4440.0,6083.0,4281.0,20664.0,27290.0,6382.0,73372866.0,7187115200.0,7260488066.0
S0_normal,0.576,0.899,0.562,0.45,23373.0,73345.0,3700.0,6083.0,105.0,21188.0,27115.0,6542.0,73385529.0,6953753625.0,7027139153.0
S0_normal,0.538,0.857,0.45,0.45,21839.0,69964.0,2960.0,6083.0,5761.0,20669.0,27316.0,6381.0,73431417.0,7261123194.0,7334554612.0
S0_normal,0.538,0.857,0.562,0.45,21839.0,69964.0,3700.0,6083.0,5021.0,20670.0,27342.0,6394.0,73496813.0,7224119197.0,7297616011.0
S0_normal,0.538,0.857,0.45,0.548,21839.0,69964.0,2960.0,7400.0,4443.0,20671.0,27380.0,6307.0,73512028.0,7188639524.0,7262151553.0
S0_normal,0.5,0.816,0.675,0.45,20305.0,66582.0,4440.0,6083.0,9197.0,20443.0,27410.0,6382.0,73518873.0,7457480773.0,7530999646.0
S0_normal,0.5,0.816,0.45,0.742,20305.0,66582.0,2960.0,10036.0,6723.0,20429.0,27443.0,6302.0,73520304.0,7314037757.0,7387558061.0
S0_normal,0.5,0.816,0.9,0.742,20305.0,66582.0,5921.0,10036.0,3763.0,20426.0,27424.0,6359.0,73523063.0,7166021769.0,7239544832.0
S0_normal,0.576,0.899,0.45,0.45,23373.0,73345.0,2960.0,6083.0,845.0,21188.0,27220.0,6529.0,73599121.0,6990757622.0,7064356743.0
S0_normal,0.538,0.857,0.562,0.548,21839.0,69964.0,3700.0,7400.0,3703.0,20671.0,27420.0,6320.0,73607241.0,7151635527.0,7225242769.0
S0_normal,0.5,0.816,0.675,0.645,20305.0,66582.0,4440.0,8718.0,6561.0,20431.0,27484.0,6303.0,73610249.0,7312513433.0,7386123682.0
S0_normal,0.5,0.816,0.562,0.742,20305.0,66582.0,3700.0,10036.0,5983.0,20429.0,27487.0,6315.0,73623436.0,7277033760.0,7350657196.0
S0_normal,0.538,0.857,0.788,0.45,21839.0,69964.0,5181.0,6083.0,3541.0,20666.0,27411.0,6393.0,73640125.0,7150111203.0,7223751328.0
S0_normal,0.5,0.816,0.675,0.548,20305.0,66582.0,4440.0,7400.0,7879.0,20445.0,27500.0,6308.0,73654201.0,7384997103.0,7458651304.0
S0_normal,0.538,0.857,0.562,0.645,21839.0,69964.0,3700.0,8718.0,2385.0,20658.0,27455.0,6315.0,73670144.0,7079151857.0,7152822001.0
S0_normal,0.538,0.857,0.788,0.548,21839.0,69964.0,5181.0,7400.0,2223.0,20668.0,27452.0,6319.0,73671748.0,7077627533.0,7151299281.0
S0_normal,0.576,0.857,0.45,0.742,23373.0,69964.0,2960.0,10036.0,273.0,21176.0,27280.0,6473.0,73678162.0,6959293629.0,7032971791.0
S0_normal,0.5,0.816,0.9,0.548,20305.0,66582.0,5921.0,7400.0,6399.0,20447.0,27493.0,6364.0,73684388.0,7310989109.0,7384673497.0
S0_normal,0.538,0.857,0.45,0.645,21839.0,69964.0,2960.0,8718.0,3125.0,20658.0,27474.0,6302.0,73701524.0,7116155855.0,7189857379.0
S0_normal,0.5,0.816,0.9,0.645,20305.0,66582.0,5921.0,8718.0,5081.0,20434.0,27511.0,6359.0,73710788.0,7238505439.0,7312216227.0
S0_normal,0.5,0.816,0.788,0.742,20305.0,66582.0,5181.0,10036.0,4503.0,20425.0,27541.0,6314.0,73736931.0,7203025766.0,7276762697.0
