scenario,description,이용률_현재(%),이용률_최적(%),감발량_MWh일,annual_benefit_억원,annual_replacement_cost_억원,BC_ratio,verdict
A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),52.7,25.0,23328.0,2625.17,3651.41,0.72,환경 편익 우선 고려
B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),52.7,25.0,23328.0,-3973.38,3651.41,-1.09,환경 편익 우선 고려
C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",52.7,25.0,23328.0,1050.06,3651.41,0.29,환경 편익 우선 고려
D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",52.7,25.0,23328.0,591.31,3651.41,0.16,환경 편익 우선 고려
E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),52.7,25.0,23328.0,579.62,3651.41,0.16,환경 편익 우선 고려
F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",52.7,25.0,23328.0,483.92,3651.41,0.13,환경 편익 우선 고려
G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",52.7,25.0,23328.0,680.44,3651.41,0.19,환경 편익 우선 고려
H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),52.7,25.0,23328.0,1223.49,3651.41,0.34,환경 편익 우선 고려
