scenario,description,demand_mwh,n_combinations,optimal_sam_util_pct,optimal_yh_util_pct,optimal_yd_util_pct,optimal_ys_util_pct,optimal_bd_util_pct,optimal_bd_mwh,baseline_NOx_ton,optimal_NOx_ton,baseline_SOx_ton,optimal_SOx_ton,baseline_dust_ton,optimal_dust_ton,baseline_social_cost_억원,optimal_social_cost_억원,saving_억원_daily,saving_pct
S0_normal,정상 (봄·가을 평균),106607.0,1089,84.0,73.3,78.8,54.8,0.4,95.0,29.41,24.76,21.27,20.87,10.45,7.54,0.813,0.69,0.124,15.2
SA_summer_stagnation,여름 대기정체 (냉방 피크),136701.0,303,84.0,89.9,45.0,45.0,94.6,20200.0,29.64,29.92,21.53,22.87,10.72,7.76,0.821,0.812,0.01,1.2
SE_spring_dust,봄 황사 (수요 저점),106390.0,1076,50.0,69.1,45.0,45.0,96.5,20605.0,29.68,25.49,21.24,18.73,10.74,7.02,0.821,0.691,0.13,15.9
SF_winter_stagnation,겨울 계절관리제 (난방 수요),119421.0,1014,80.0,69.3,45.0,45.0,99.9,21336.0,29.3,27.37,21.4,20.05,10.47,7.96,0.812,0.745,0.067,8.3
