scenario,description,SOx_current,SOx_optimal,SOx_reduction_pct,NOx_current,NOx_optimal,NOx_reduction_pct,먼지_current,먼지_optimal,먼지_reduction_pct,current_utilization,optimal_utilization,current_gen_mwh,optimal_gen_mwh,social_cost_saving_krw,replacement_cost_krw
A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),7687.5283203125,6711.02197265625,12.702474800334196,10225.5234375,8448.7880859375,17.375495371187448,7569.13330078125,4338.99169921875,42.67518450532639,0.6999824212120536,0.5,28428.0,20306.0,6759908.0,446681963.57412803
B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),7557.365234375,6499.23876953125,14.00126144533569,10344.3623046875,8567.2412109375,17.179609930567743,8031.20458984375,5041.41796875,37.22712561543545,0.6999824212120536,0.5,28428.0,20306.0,6616466.0,446681963.57412803
C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",7724.6005859375,6635.396484375,14.100458521381377,10817.236328125,8778.4248046875,18.84780420426385,8147.43603515625,4646.3330078125,42.97183816155737,0.6999824212120536,0.5,28428.0,20306.0,7583122.0,446681963.57412803
D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",7644.51611328125,6586.447265625,13.840887140233862,10130.041015625,8598.783203125,15.116008021469248,9501.376953125,4646.3330078125,51.098319425330004,0.6999824212120536,0.5,28428.0,20306.0,7528998.0,446681963.57412803
E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),7643.98779296875,6601.80615234375,13.634004512456718,10271.4853515625,8540.322265625,16.854067612277277,7569.13330078125,4338.99169921875,42.67518450532639,0.6999824212120536,0.5,28428.0,20306.0,6695678.0,446681963.57412803
F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",7772.89892578125,6657.6162109375,14.348349637540842,10310.904296875,8579.7412109375,16.789633926310188,7213.08544921875,4247.32470703125,41.116395515718196,0.6999824212120536,0.5,28428.0,20306.0,6528656.0,446681963.57412803
G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",7662.11083984375,6572.90673828125,14.215457389346664,10802.10546875,8777.5341796875,18.74237661277695,9501.376953125,4646.3330078125,51.098319425330004,0.6999824212120536,0.5,28428.0,20306.0,8595322.0,446681963.57412803
H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),7760.91748046875,6729.97119140625,13.283819750139028,10725.3154296875,8732.462890625,18.580829180522898,7569.13330078125,4338.99169921875,42.67518450532639,0.6999824212120536,0.5,28428.0,20306.0,7247456.0,446681963.57412803
