target,RMSE,MAE,R2,plant
SOx,109964.86635138703,74027.03897343719,0.6943937533256992,삼천포
NOx,241830.82425838072,165667.3797002623,0.3762862786963025,삼천포
먼지,2285594.3425620985,721597.1785037179,-0.023335374730206304,삼천포
