scenario,description,이용률_현재(%),이용률_최적(%),감발량_MWh일,annual_benefit_억원,annual_replacement_cost_억원,BC_ratio,verdict
A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),31.0,20.0,2160.0,2.26,234.94,0.01,환경 편익 우선 고려
B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),31.0,20.0,2160.0,2.48,234.94,0.01,환경 편익 우선 고려
C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",31.0,20.0,2160.0,2.6,234.94,0.01,환경 편익 우선 고려
D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",31.0,20.0,2160.0,2.38,234.94,0.01,환경 편익 우선 고려
E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),31.0,20.0,2160.0,2.02,234.94,0.01,환경 편익 우선 고려
F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",31.0,20.0,2160.0,1.96,234.94,0.01,환경 편익 우선 고려
G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",31.0,20.0,2160.0,2.38,234.94,0.01,환경 편익 우선 고려
H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),31.0,20.0,2160.0,2.26,234.94,0.01,환경 편익 우선 고려
