scenario,description,이용률_현재(%),이용률_최적(%),감발량_MWh일,annual_benefit_억원,annual_replacement_cost_억원,BC_ratio,verdict
A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),82.8,65.0,16330.0,25.2,2634.24,0.01,환경 편익 우선 고려
B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),82.8,65.0,16330.0,21.91,2634.24,0.01,환경 편익 우선 고려
C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",82.8,65.0,16330.0,27.07,2634.24,0.01,환경 편익 우선 고려
D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",82.8,65.0,16330.0,23.5,2634.24,0.01,환경 편익 우선 고려
E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),82.8,65.0,16330.0,24.69,2634.24,0.01,환경 편익 우선 고려
F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",82.8,65.0,16330.0,22.04,2634.24,0.01,환경 편익 우선 고려
G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",82.8,65.0,16330.0,26.54,2634.24,0.01,환경 편익 우선 고려
H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),82.8,65.0,16330.0,28.2,2634.24,0.01,환경 편익 우선 고려
