scenario,description,SOx_current,SOx_optimal,SOx_reduction_pct,NOx_current,NOx_optimal,NOx_reduction_pct,먼지_current,먼지_optimal,먼지_reduction_pct,current_utilization,optimal_utilization,current_gen_mwh,optimal_gen_mwh,social_cost_saving_krw,replacement_cost_krw
A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),13296.37109375,11842.2412109375,10.936291357692463,12795.1953125,9533.0068359375,25.4954175914421,2034.259033203125,2085.596923828125,-2.5236653635089845,0.8277575062810537,0.65,69402.0,53072.0,7635998.0,798253878.8719054
B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),12949.4677734375,11566.8642578125,10.676913830088486,12497.9052734375,9559.2587890625,23.513112158248394,2221.4814453125,2623.895751953125,-18.114682321103817,0.8277575062810537,0.65,69402.0,53072.0,6640758.0,798253878.8719054
C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",12849.818359375,11489.2021484375,10.588602678144618,12859.697265625,9738.6767578125,24.26978212119532,3053.2275390625,1916.303955078125,37.23677876734565,0.8277575062810537,0.65,69402.0,53072.0,8203510.0,798253878.8719054
D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",12831.529296875,11510.6826171875,10.293758827400097,12724.3583984375,9666.4287109375,24.032093342132686,4096.38623046875,4165.16064453125,-1.6789045317787366,0.8277575062810537,0.65,69402.0,53072.0,7120854.0,798253878.8719054
E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),13197.8466796875,11748.0849609375,10.98483528363225,12733.4150390625,9542.505859375,25.05933537781261,2034.259033203125,2085.596923828125,-2.5236653635089845,0.8277575062810537,0.65,69402.0,53072.0,7481986.0,798253878.8719054
F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",13309.9677734375,11899.1767578125,10.599507374018547,12516.994140625,9566.9951171875,23.567950821859217,2042.8709716796875,2445.28564453125,-19.69848700335144,0.8277575062810537,0.65,69402.0,53072.0,6679034.0,798253878.8719054
G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",12603.212890625,11279.052734375,10.506528515716711,12815.1884765625,9724.7939453125,24.115092313327853,3256.271728515625,2218.236572265625,31.87802624577616,0.8277575062810537,0.65,69402.0,53072.0,8043908.0,798253878.8719054
H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),13161.5146484375,11720.2431640625,10.950650611828358,12900.283203125,9638.0947265625,25.28772760409057,3039.182861328125,1902.259033203125,37.408865474720514,0.8277575062810537,0.65,69402.0,53072.0,8544528.0,798253878.8719054
