target,RMSE,MAE,R2,plant
SOx,98946.12066213715,75924.07543662573,0.5812205995588912,영흥
NOx,122503.56377719913,83383.78846207625,0.26742203896467776,영흥
먼지,522965.9785110725,199170.17562689076,-0.041274700226660466,영흥
