date,SOx,NOx,먼지,SOx_conc,NOx_conc,dust_conc,n_units,temp_mean,humidity_mean,wind_dir,wind_speed_mean,precipitation,wind_sin,wind_cos,stagnation_idx,유연탄,LNG,oil_ton,coal_ratio,lng_ratio,gen_mwh,heat_efficiency,utilization,api_gen_mwh,renewable_mwh,wind_speed_max,pressure_mean,solar_radiation,solar_mwh,wind_mwh,renewable_ratio,dayofweek,season,plant_type,is_coal,hydro_mwh
2020-07-16,8315.430754896,25928.975269008,1859.282736336,12.2375,98.1375,39.88125,8,19.58,89.77,68.32,1.35,0.0,0.9292615808917024,0.3694224063029395,66.4962962962963,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,13.708391,1003.7657,24.11,0.0,0.0,,3,summer,samcheonpo_coal,1,0.0
2020-07-17,9219.091915008,25551.550929024,2041.968820752,10.77375,98.28375,38.11125,8,19.55,91.99,57.0,2.05,0.0,0.838670567945424,0.5446390350150271,44.87317073170732,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,10.8955765,1005.5769,27.14,0.0,0.0,,4,summer,samcheonpo_coal,1,0.0
2020-07-18,8767.237553424,25663.054205664,2021.405315616,11.715,99.62375,30.56125,8,21.63,86.08,117.99,1.96,0.0,0.8830295176556012,-0.4693174522100327,43.91836734693877,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,9.021574,1006.29364,13.53,0.0,0.0,,5,summer,samcheonpo_coal,1,0.0
2020-07-19,8401.119212879998,25690.756809744,2058.996017808,10.47,86.0475,33.05625,8,24.0,99.0,242.87,9.08,7.75,-0.889974159837923,-0.4560109591016239,10.90308370044053,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,21.67487,1004.3023,5.46,0.0,0.0,,6,summer,samcheonpo_coal,1,0.0
2020-07-20,9329.56003944,26260.53566112,2322.074042064,13.8475,70.91749999999999,34.02875,8,22.61,93.93,110.46,1.11,0.5,0.9369164518419248,-0.3495533754206046,84.62162162162161,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,19.652176,1004.2212,8.87,0.0,0.0,,0,summer,samcheonpo_coal,1,0.0
2020-07-21,9129.7013904,26441.996489136,1906.036374672,11.17125,71.7825,40.95625,8,23.48,89.0,218.82,1.87,4.5,-0.6268758134535259,-0.7791191914636554,47.593582887700535,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,10.883676,1008.0728,14.7,0.0,0.0,,1,summer,samcheonpo_coal,1,0.0
2020-07-22,10120.289013504,27233.865053136004,2246.1371010720004,18.1375,77.595,39.00625000000001,8,22.58,98.0,68.72,1.82,20.25,0.9318179694207724,0.3629259867583863,53.84615384615385,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,11.435313,1006.7312,3.54,0.0,0.0,,2,summer,samcheonpo_coal,1,0.0
2020-07-23,10841.239827216,27260.818226496,2320.9065899999996,15.8175,74.05624999999999,42.803749999999994,8,21.52,95.01,186.07,2.5,55.57,-0.1057434226634942,-0.9943934475666106,38.004000000000005,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,28.496904,1003.3703,3.51,0.0,0.0,,3,summer,samcheonpo_coal,1,0.0
2020-07-24,10858.887278928,27182.082393072,2160.756049392,16.77375,73.70625000000001,32.706250000000004,8,20.0,98.01,317.08,4.69,1.5,-0.6809765331917579,0.7323052377541313,20.897654584221748,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,26.260265,994.2066,3.73,0.0,0.0,,4,summer,samcheonpo_coal,1,0.0
2020-07-25,12113.30128536,25853.750755344,2153.450718864,14.46125,86.92875,37.9825,8,21.65,93.06,238.15,2.14,0.25,-0.8494325137479078,-0.5276972660417243,43.48598130841121,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,11.792404,998.14087,11.6,0.0,0.0,,5,summer,samcheonpo_coal,1,0.0
2020-07-26,10658.541088224,25683.176576016,2186.729123616,14.32875,87.42875000000001,38.842499999999994,8,22.33,87.88,155.32,0.88,0.0,0.4175499191700165,-0.908653985299747,99.86363636363636,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,12.979984,1003.96625,22.13,0.0,0.0,,6,summer,samcheonpo_coal,1,0.0
2020-07-27,10805.410670976,26779.506251183997,2314.180988064,12.215,87.32,38.54375,8,22.07,98.0,205.68,1.43,7.25,-0.4333445229571871,-0.9012283419994114,68.53146853146853,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,10.703569,1004.68695,4.2,0.0,0.0,,0,summer,samcheonpo_coal,1,0.0
2020-07-28,10229.530806432002,26305.644629952,2079.995490288,11.6575,79.33875,39.116249999999994,8,23.49,99.0,203.39,0.81,14.0,-0.3969877061872494,-0.9178239270885163,122.2222222222222,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,13.584932,1006.4068,7.17,0.0,0.0,,1,summer,samcheonpo_coal,1,0.0
2020-07-29,8149.96376496,25851.806769312,1905.15697992,16.32625,68.9875,40.54875,8,23.91,98.61,246.6,0.84,16.5,-0.9177546256839808,-0.3971478906347811,117.39285714285715,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,8.427383,1009.51373,8.25,0.0,0.0,,2,summer,samcheonpo_coal,1,0.0
2020-07-30,8459.956120464,25879.70083176,2103.073739424,12.97875,62.005,46.04375,8,23.27,97.01,113.61,1.44,21.0,0.916292841517839,-0.4005089619261528,67.36805555555556,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,8.225035,1010.9714,8.08,0.0,0.0,,3,summer,samcheonpo_coal,1,0.0
2020-07-31,8030.225647871999,26352.572012784,2255.073823728,15.11,67.82625,47.5675,8,24.59,92.96,136.6,1.11,0.0,0.687087510804423,-0.7265746709709758,83.74774774774774,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,35.782684394743036,81.17447975159939,,0.0,7.928177,1010.6862,11.6,0.0,0.0,,4,summer,samcheonpo_coal,1,0.0
