date,SOx,NOx,먼지,n_units,gen_mwh,utilization,heat_efficiency,temp_mean,humidity_mean,wind_speed_mean,wind_speed_max,wind_sin,wind_cos,precipitation,stagnation_idx,solar_radiation,유연탄,유류,우드펠릿,api_gen_mwh,gen_mwh_combined,coal_ratio,oil_ratio,biomass_ratio,renewable_ratio,solar_mwh,wind_mwh,is_coal,plant,month,dayofweek,year,season,seasonal_mgmt,SOx_lag1,SOx_lag7,NOx_lag1,NOx_lag7,먼지_lag1,먼지_lag7
2020-07-16,11.22191568,5479.1075489760005,329.595430464,2.0,12990.709677419354,81.04850930689922,37.447643278571284,21.2,85.0,1.8333333333333333,2.7222222222222223,0.9510565162951536,-0.3090169943749473,1.3,46.36363636363637,20.47,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,3,2020,summer,0,,,,,,
2020-07-17,31.81144608,5520.242996352001,340.122665664,2.0,12990.709677419354,81.04850930689922,37.447643278571284,21.9,84.0,1.75,4.055555555555555,0.8910065241883679,-0.4539904997395467,0.3,48.0,21.97,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,4,2020,summer,0,11.22191568,,5479.1075489760005,,329.595430464,
2020-07-18,51.078369888,5775.909311664,352.890972432,2.0,12990.709677419354,81.04850930689922,37.447643278571284,21.4,88.0,2.694444444444444,4.111111111111112,0.9902680687415704,-0.1391731009600653,0.2,32.659793814432994,12.87,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,5,2020,summer,0,31.81144608,,5520.242996352001,,340.122665664,
2020-07-19,29.716076016000002,5570.386762176,360.550492704,2.0,12990.709677419354,81.04850930689922,37.447643278571284,23.4,96.0,5.055555555555555,7.5,0.5877852522924732,-0.8090169943749473,10.4,18.98901098901099,8.08,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,6,2020,summer,0,51.078369888,,5775.909311664,,352.890972432,
2020-07-20,35.226029952000005,5937.983320032,398.91285532800003,2.0,12990.709677419354,81.04850930689922,37.447643278571284,25.3,89.0,4.666666666666667,8.166666666666666,-0.4539904997395467,-0.8910065241883679,1.4,19.07142857142857,15.73,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,0,2020,summer,0,29.716076016000002,,5570.386762176,,360.550492704,
2020-07-21,136.45507967999998,5893.983510336,363.66448780800005,2.0,12990.709677419354,81.04850930689922,37.447643278571284,24.1,89.0,2.1666666666666665,3.333333333333333,-0.9271838545667872,-0.3746065934159123,17.2,41.07692307692308,15.43,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,1,2020,summer,0,35.226029952000005,,5937.983320032,,398.91285532800003,
2020-07-22,151.75890835200002,6334.426993248,317.75271638399994,2.0,12990.709677419354,81.04850930689922,37.447643278571284,23.8,97.0,1.5,3.4722222222222223,-0.3583679495453004,-0.9335804264972016,28.1,64.66666666666667,6.61,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,2,2020,summer,0,136.45507967999998,,5893.983510336,,363.66448780800005,
2020-07-23,131.005831824,6264.587912544001,305.879745312,2.0,12990.709677419354,81.04850930689922,37.447643278571284,23.1,97.0,4.583333333333333,8.61111111111111,0.5150380749100544,-0.8571673007021122,54.8,21.163636363636364,4.32,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,3,2020,summer,0,151.75890835200002,11.22191568,6334.426993248,5479.1075489760005,317.75271638399994,329.595430464
2020-07-24,252.02987179200005,6007.529299247999,299.853012096,2.0,12990.709677419354,81.04850930689922,37.447643278571284,22.4,90.0,6.694444444444445,10.638888888888888,-0.6018150231520484,-0.7986355100472928,6.5,13.443983402489629,11.41,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,4,2020,summer,0,131.005831824,31.81144608,6264.587912544001,5520.242996352001,305.879745312,340.122665664
2020-07-25,67.644754704,5358.877006176001,265.92385723200005,2.0,12990.709677419354,81.04850930689922,37.447643278571284,22.9,88.0,3.4444444444444446,4.5,-0.9335804264972016,-0.3583679495453007,1.9,25.548387096774192,17.85,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,5,2020,summer,0,252.02987179200005,51.078369888,6007.529299247999,5775.909311664,299.853012096,352.890972432
2020-07-26,116.685836064,5436.283162464,285.028139088,2.0,12990.709677419354,81.04850930689922,37.447643278571284,22.6,87.0,2.055555555555556,3.416666666666667,-0.3420201433256686,-0.9396926207859084,0.0,42.32432432432432,22.34,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,6,2020,summer,0,67.644754704,29.716076016000002,5358.877006176001,5570.386762176,265.92385723200005,360.550492704
2020-07-27,115.803472464,6230.343954816,328.18164695999997,2.0,12990.709677419354,81.04850930689922,37.447643278571284,22.4,95.0,2.0,4.305555555555555,0.9993908270190958,0.034899496702501,44.9,47.5,6.03,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,0,2020,summer,0,116.685836064,35.226029952000005,5436.283162464,5937.983320032,285.028139088,398.91285532800003
2020-07-28,62.050786560000006,5982.4501884,313.700748912,2.0,12990.709677419354,81.04850930689922,37.447643278571284,24.2,96.0,2.861111111111111,3.75,-0.1908089953765447,-0.981627183447664,11.7,33.55339805825243,11.19,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,1,2020,summer,0,115.803472464,136.45507967999998,6230.343954816,5893.983510336,328.18164695999997,363.66448780800005
2020-07-29,145.54310587199998,6513.245728128,324.68346144,2.0,12990.709677419354,81.04850930689922,37.447643278571284,24.6,96.0,1.6666666666666663,3.083333333333333,0.0174524064372834,-0.9998476951563912,13.5,57.60000000000001,12.74,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,2,2020,summer,0,62.050786560000006,151.75890835200002,5982.4501884,6334.426993248,313.700748912,317.75271638399994
2020-07-30,280.345609008,6206.4228011039995,324.60784084799997,2.0,12990.709677419354,81.04850930689922,37.447643278571284,25.0,93.0,2.305555555555556,4.75,-0.7431448254773944,-0.6691306063588581,23.3,40.33734939759036,14.96,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,3,2020,summer,0,145.54310587199998,131.005831824,6513.245728128,6264.587912544001,324.68346144,305.879745312
2020-07-31,422.97178305600005,6025.044423887999,329.90825131199995,2.0,12990.709677419354,81.04850930689922,37.447643278571284,25.8,90.0,2.1944444444444446,3.6666666666666665,-0.9335804264972016,-0.3583679495453007,0.0,41.0126582278481,20.64,6807.935483870968,0.0,0.0,,12990.709677419354,1.0,0.0,0.0,0.0,0.0,0.0,1,여수,7,4,2020,summer,0,280.345609008,252.02987179200005,6206.4228011039995,6007.529299247999,324.60784084799997,299.853012096
2020-08-01,362.22110928000006,5338.333866384,313.103771136,2.0,11007.516129032258,71.08189064363647,36.74871460263222,25.8,92.0,2.694444444444444,5.166666666666667,-0.4848096202463369,-0.8746197071393959,0.0,34.14432989690722,21.71,5865.354838709677,7.483870967741935,0.0,,11007.516129032258,0.9987256808269893,0.001274319173010799,0.0,0.0,0.0,0.0,1,여수,8,5,2020,summer,0,422.97178305600005,67.644754704,6025.044423887999,5358.877006176001,329.90825131199995,265.92385723200005
2020-08-02,315.01516550400004,5477.637064464001,318.84802329600006,2.0,11007.516129032258,71.08189064363647,36.74871460263222,26.0,92.0,2.8055555555555554,4.0,-0.374606593415912,-0.9271838545667874,0.5,32.79207920792079,16.18,5865.354838709677,7.483870967741935,0.0,,11007.516129032258,0.9987256808269893,0.001274319173010799,0.0,0.0,0.0,0.0,1,여수,8,6,2020,summer,0,362.22110928000006,116.685836064,5338.333866384,5436.283162464,313.103771136,285.028139088
2020-08-03,352.3971048479999,5638.081830336,325.377149472,2.0,11007.516129032258,71.08189064363647,36.74871460263222,26.1,92.0,4.694444444444444,6.888888888888889,-0.4694715627858908,-0.8829475928589269,1.5,19.59763313609468,15.07,5865.354838709677,7.483870967741935,0.0,,11007.516129032258,0.9987256808269893,0.001274319173010799,0.0,0.0,0.0,0.0,1,여수,8,0,2020,summer,0,315.01516550400004,115.803472464,5477.637064464001,6230.343954816,318.84802329600006,328.18164695999997
