date,SOx,NOx,먼지,SOx_conc,NOx_conc,dust_conc,n_units,temp_mean,humidity_mean,wind_dir,wind_speed_mean,precipitation,wind_sin,wind_cos,stagnation_idx,유연탄,LNG,oil_ton,coal_ratio,lng_ratio,gen_mwh,heat_efficiency,utilization,api_gen_mwh,solar_mwh,wind_mwh,wind_speed_max,pressure_mean,solar_radiation,renewable_mwh,renewable_ratio,month,dayofweek,season,year,plant_type,is_coal
2020-07-16,498925.84529376,1555738.51614048,111556.96418016,12.2375,98.1375,39.88125,8,19.58,89.77,68.32,1.35,0.0,0.9292615808917024,0.3694224063029395,66.4962962962963,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,13.708391,1003.7657,24.11,0.0,0.0,7,3,summer,2020,samcheonpo_coal,1
2020-07-17,553145.5149004799,1533093.05574144,122518.12924512,10.77375,98.28375,38.11125,8,19.55,91.99,57.0,2.05,0.0,0.838670567945424,0.5446390350150271,44.87317073170732,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,10.8955765,1005.5769,27.14,0.0,0.0,7,4,summer,2020,samcheonpo_coal,1
2020-07-18,526034.25320544,1539783.25233984,121284.31893696,11.715,99.62375,30.56125,8,21.63,86.08,117.99,1.96,0.0,0.8830295176556012,-0.4693174522100327,43.91836734693877,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,9.021574,1006.29364,13.53,0.0,0.0,7,5,summer,2020,samcheonpo_coal,1
2020-07-19,504067.1527727999,1541445.40858464,123539.76106848,10.47,86.0475,33.05625,8,24.0,99.0,242.87,9.08,7.75,-0.889974159837923,-0.4560109591016239,10.90308370044053,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,21.67487,1004.3023,5.46,0.0,0.0,7,6,summer,2020,samcheonpo_coal,1
2020-07-20,559773.6023664,1575632.1396672,139324.44252384,13.8475,70.91749999999999,34.02875,8,22.61,93.93,110.46,1.11,0.5,0.9369164518419248,-0.3495533754206046,84.62162162162161,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,19.652176,1004.2212,8.87,0.0,0.0,7,0,summer,2020,samcheonpo_coal,1
2020-07-21,547782.083424,1586519.78934816,114362.18248032,11.17125,71.7825,40.95625,8,23.48,89.0,218.82,1.87,4.5,-0.6268758134535259,-0.7791191914636554,47.593582887700535,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,10.883676,1008.0728,14.7,0.0,0.0,7,1,summer,2020,samcheonpo_coal,1
2020-07-22,607217.34081024,1634031.9031881602,134768.22606432,18.1375,77.595,39.00625000000001,8,22.58,98.0,68.72,1.82,20.25,0.9318179694207724,0.3629259867583863,53.84615384615385,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,11.435313,1006.7312,3.54,0.0,0.0,7,2,summer,2020,samcheonpo_coal,1
2020-07-23,650474.38963296,1635649.09358976,139254.39539999998,15.8175,74.05624999999999,42.803749999999994,8,21.52,95.01,186.07,2.5,55.57,-0.1057434226634942,-0.9943934475666106,38.004000000000005,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,28.496904,1003.3703,3.51,0.0,0.0,7,3,summer,2020,samcheonpo_coal,1
2020-07-24,651533.23673568,1630924.94358432,129645.36296352,16.77375,73.70625000000001,32.706250000000004,8,20.0,98.01,317.08,4.69,1.5,-0.6809765331917579,0.7323052377541313,20.897654584221748,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,26.260265,994.2066,3.73,0.0,0.0,7,4,summer,2020,samcheonpo_coal,1
2020-07-25,726798.0771216,1551225.04532064,129207.04313184,14.46125,86.92875,37.9825,8,21.65,93.06,238.15,2.14,0.25,-0.8494325137479078,-0.5276972660417243,43.48598130841121,13506.806451612903,0.0,10.451612903225806,1.0,0.0,32330.709677419356,17.883333333333333,40.093333333333334,,0.0,0.0,11.792404,998.14087,11.6,0.0,0.0,7,5,summer,2020,samcheonpo_coal,1
