date,SOx,NOx,먼지,SOx_conc,NOx_conc,dust_conc,n_units,temp_mean,humidity_mean,wind_dir,wind_speed_mean,precipitation,wind_sin,wind_cos,stagnation_idx,유연탄,LNG,oil_ton,coal_ratio,lng_ratio,gen_mwh,heat_efficiency,utilization,api_gen_mwh,renewable_mwh,wind_speed_max,pressure_mean,solar_radiation,solar_mwh,wind_mwh,renewable_ratio,dayofweek,season,plant_type,is_coal,hydro_mwh,gen_mwh_combined
2020-07-16,21234.457222704,21996.268971696,2561.33723256,13.046666666666669,29.08,13.978333333333332,6,21.583333333333332,95.51833333333332,251.98,0.89,0.0,-0.950948591075739,-0.309348956893452,107.32397003745317,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,17.873554,1004.38525,24.23,0.0,0.0,0.0,3,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-17,20187.820435968,21301.82379936,2471.5248344639995,12.8,28.94666666666667,8.266666666666667,6,21.583333333333332,95.21166666666666,208.53166666666667,0.5933333333333334,0.0,-0.4776443986753004,-0.8785532587237445,160.4691011235955,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,19.829433,1005.90845,23.08,0.0,0.0,0.0,4,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-18,14910.36875568,15543.98298864,2260.199205504,9.055,25.338333333333335,35.526666666666664,6,22.105,95.20666666666666,158.57500000000002,0.5916666666666667,0.0,0.3652829993287003,-0.930896519706368,160.91267605633803,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,14.345898,1005.6824,18.05,0.0,0.0,0.0,5,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-19,14310.554678352,15468.368296896,2265.321137184,8.631666666666666,25.005,32.82666666666667,6,25.996666666666663,94.76833333333332,172.33,3.546666666666667,0.02,0.1334672894854552,-0.9910532188724306,26.7203947368421,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,38.64093,1001.26996,2.73,0.0,0.0,0.0,6,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-20,14820.292083743998,15558.600067775998,2042.945299872,8.743333333333334,25.595,31.788333333333338,6,21.886666666666667,97.035,242.66,1.9866666666666664,0.005,-0.8882968183367946,-0.4592698145238021,48.84312080536913,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,44.693676,1001.7778,12.81,0.0,0.0,0.0,0,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-21,14658.278811264,15309.430568784,1868.93666712,9.036666666666669,25.641666666666666,30.831666666666667,6,21.511666666666667,98.32666666666668,214.39166666666665,0.4083333333333334,0.0,-0.5648469895559782,-0.8251956606705761,240.8,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,15.459054,1009.0452,21.33,0.0,0.0,0.0,1,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-22,16498.113403392,15386.837351328,1633.483470384,10.3,24.921666666666667,28.661666666666665,6,20.945,98.50833333333333,140.83,0.8116666666666666,0.26,0.6316234560607398,-0.775275312230363,121.36550308008214,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,12.313894,1007.40106,4.68,0.0,0.0,0.0,2,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-23,16217.745931296,16116.987097152,1694.899432512,10.003333333333334,24.096666666666668,25.61666666666667,6,17.131666666666664,76.53166666666667,112.83,2.84,0.01,0.9216601225441744,-0.3879982197276908,26.947769953051644,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,57.479496,1002.2483,2.77,0.0,0.0,0.0,3,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-24,16362.365257728,18539.948840687997,2770.143652512,10.04,24.755,20.405,6,23.011666666666667,79.87166666666667,142.05666666666667,1.6166666666666665,0.01,0.614881816020719,-0.7886192695636233,49.405154639175265,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,53.183826,995.2828,10.44,0.0,0.0,0.0,4,summer,yeongheung_coal,1,0.0,90448.73548387096
2020-07-25,16207.476342336,23303.112539904,4074.461963712,10.153333333333334,22.876666666666665,17.955,6,19.418333333333333,70.40833333333333,80.63666666666667,0.995,0.0,0.9866764806913568,0.1626945679809824,70.76214405360133,35034.1935483871,0.0,150.51612903225808,1.0,0.0,90448.73548387096,38.983333333333334,85.70447928814284,90448.73548387096,0.0,29.215502,999.68524,13.53,0.0,0.0,0.0,5,summer,yeongheung_coal,1,0.0,90448.73548387096
