date,SOx,NOx,먼지,n_units,gen_mwh,utilization,heat_efficiency,temp_mean,humidity_mean,wind_speed_mean,wind_speed_max,wind_sin,wind_cos,precipitation,stagnation_idx,solar_radiation,유연탄,무연탄,유류,우드펠릿,api_gen_mwh,gen_mwh_combined,coal_ratio,biomass_ratio,oil_ratio,renewable_ratio,solar_mwh,wind_mwh,is_coal,plant,month,dayofweek,year,season,seasonal_mgmt,SOx_lag1,SOx_lag7,NOx_lag1,NOx_lag7,먼지_lag1,먼지_lag7
2020-07-16,358.713115488,2154.815378928,256.8034062720001,2.0,3065.467741935484,92.24488374662604,29.41,19.01,89.31,1.39,3.861111111111111,-0.6610499868811325,-0.7503418653150405,0.0,64.25179856115109,27.65,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,3,2020,summer,0,,,,,,
2020-07-17,331.52271292800003,2309.643422496,265.80800001600005,2.0,3065.467741935484,92.24488374662604,29.41,19.37,90.38,2.63,3.888888888888889,-0.5058832193808817,-0.8626019756230765,0.0,34.365019011406844,27.86,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,4,2020,summer,0,358.713115488,,2154.815378928,,256.8034062720001,
2020-07-18,421.541695584,1956.190901184,252.44318520000004,2.0,3065.467741935484,92.24488374662604,29.41,18.98,92.64,1.55,4.111111111111112,-0.5066357888897409,-0.8621601808342054,0.0,59.76774193548387,25.66,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,5,2020,summer,0,331.52271292800003,,2309.643422496,,265.80800001600005,
2020-07-19,337.521931344,2056.19645016,251.16777648000004,2.0,3065.467741935484,92.24488374662604,29.41,22.2,93.52,3.17,6.666666666666666,0.5977650741210029,-0.8016713267674677,0.0,29.501577287066244,12.77,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,6,2020,summer,0,421.541695584,,1956.190901184,,252.44318520000004,
2020-07-20,454.40063251199996,2432.7166463999993,278.906675184,2.0,3065.467741935484,92.24488374662604,29.41,26.41,62.5,5.89,6.805555555555555,-0.9595599986309626,-0.28150419007067556,0.0,10.611205432937183,9.71,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,0,2020,summer,0,337.521931344,,2056.19645016,,251.16777648000004,
2020-07-21,347.10988752,2302.4947554720006,267.41488608000003,2.0,3065.467741935484,92.24488374662604,29.41,23.34,80.7,1.02,3.0,0.9893740770682332,-0.14539235064260303,0.0,79.11764705882354,22.89,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,1,2020,summer,0,454.40063251199996,,2432.7166463999993,,278.906675184,
2020-07-22,226.92645100800002,2283.559463808,270.37467720000006,2.0,3065.467741935484,92.24488374662604,29.41,22.9,89.28,4.83,3.944444444444444,0.79165026652909,-0.6109745129744945,0.0,18.48447204968944,7.19,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,2,2020,summer,0,347.10988752,,2302.4947554720006,,267.41488608000003,
2020-07-23,527.544786528,2418.984205056,273.36063513600004,2.0,3065.467741935484,92.24488374662604,29.41,20.04,98.67,3.78,5.0,0.4422886902190013,0.8968727415326883,21.39,26.103174603174605,5.39,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,3,2020,summer,0,226.92645100800002,358.713115488,2283.559463808,2154.815378928,270.37467720000006,256.8034062720001
2020-07-24,440.5036086719999,2093.429092032,250.31150064000002,2.0,3065.467741935484,92.24488374662604,29.41,20.61,100.0,3.71,9.0,0.8521838737361154,0.5232424345789518,122.5,26.954177897574123,10.28,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,4,2020,summer,0,527.544786528,331.52271292800003,2418.984205056,2309.643422496,273.36063513600004,265.80800001600005
2020-07-25,334.56144096,2288.2458097440003,250.92566784000002,2.0,3065.467741935484,92.24488374662604,29.41,20.63,100.0,1.12,4.888888888888889,-0.18172066946951854,-0.9833501910751581,42.24,89.28571428571428,6.34,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,5,2020,summer,0,440.5036086719999,421.541695584,2093.429092032,1956.190901184,250.31150064000002,252.44318520000004
2020-07-26,318.83419238399995,2074.2744284640003,253.304469648,2.0,3065.467741935484,92.24488374662604,29.41,20.68,96.58,2.12,2.75,0.9141124784450788,-0.4054606969251092,8.5,45.556603773584904,17.92,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,6,2020,summer,0,334.56144096,337.521931344,2288.2458097440003,2056.19645016,250.92566784000002,251.16777648000004
2020-07-27,271.296309312,2501.1112916160005,272.17247068800003,2.0,3065.467741935484,92.24488374662604,29.41,20.19,100.0,2.09,2.5,-0.9889900506895785,0.14798202470916885,1.0,47.84688995215311,8.46,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,0,2020,summer,0,318.83419238399995,454.40063251199996,2074.2744284640003,2432.7166463999993,253.304469648,278.906675184
2020-07-28,374.818534272,2494.785596688,270.84132230399996,2.0,3065.467741935484,92.24488374662604,29.41,21.18,99.32,0.26,3.611111111111111,0.0005235987516737029,0.9999998629221643,4.0,381.99999999999994,8.43,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,1,2020,summer,0,271.296309312,347.10988752,2501.1112916160005,2302.4947554720006,272.17247068800003,267.41488608000003
2020-07-29,488.57963961600007,2410.800648624,289.530289152,2.0,3065.467741935484,92.24488374662604,29.41,21.63,96.8,0.74,2.694444444444444,0.055124448297579676,0.9984794916270877,15.5,130.8108108108108,7.68,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,2,2020,summer,0,374.818534272,226.92645100800002,2494.785596688,2283.559463808,270.84132230399996,270.37467720000006
2020-07-30,318.067079184,2507.994277056,275.82621984,2.0,3065.467741935484,92.24488374662604,29.41,21.92,93.62,2.14,2.944444444444444,-0.7784623015670237,-0.6276913612907002,2.0,43.74766355140187,14.2,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,3,2020,summer,0,488.57963961600007,527.544786528,2410.800648624,2418.984205056,289.530289152,273.36063513600004
2020-07-31,289.11891384,1764.1582991999999,269.49919204800005,2.0,3065.467741935484,92.24488374662604,29.41,27.11,74.07,2.69,3.2777777777777777,-0.8352319678401671,-0.54989777222484,0.0,27.535315985130108,24.48,0.0,0.0,35.935483870967744,1773.3870967741937,,3065.467741935484,0.0,0.9801387081245877,0.01986129187541229,0.0,0.0,0.0,1,영동,7,4,2020,summer,0,318.067079184,440.5036086719999,2507.994277056,2093.429092032,275.82621984,250.31150064000002
2020-08-01,335.6038638720001,2248.5653631360005,256.17818188800004,2.0,5426.8387096774195,73.27682105663608,35.67,25.65,83.5,4.1,2.638888888888889,-0.6888608147481385,-0.7248936321313153,0.5,20.365853658536587,18.6,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,5,2020,summer,0,289.11891384,334.56144096,1764.1582991999999,2288.2458097440003,269.49919204800005,250.92566784000002
2020-08-02,211.096391328,2375.0562697920004,254.15883936,2.0,5426.8387096774195,73.27682105663608,35.67,29.07,66.36,5.62,3.8055555555555554,-0.2167803923408933,-0.9762203959642148,4.0,11.807829181494661,18.94,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,6,2020,summer,0,335.6038638720001,318.83419238399995,2248.5653631360005,2074.2744284640003,256.17818188800004,253.304469648
2020-08-03,235.21018248000004,2477.162722176,288.9750591360001,2.0,5426.8387096774195,73.27682105663608,35.67,26.97,73.59,1.32,5.888888888888888,0.5744339357106555,0.8185509474088748,11.0,55.75,8.3,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,0,2020,summer,0,211.096391328,271.296309312,2375.0562697920004,2501.1112916160005,254.15883936,272.17247068800003
2020-08-04,361.48576176,2694.3058791359995,291.952269216,2.0,5426.8387096774195,73.27682105663608,35.67,25.36,88.2,1.38,4.166666666666667,-0.82273973825379,-0.5684182642193029,1.0,63.913043478260875,9.2,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,1,2020,summer,0,235.21018248000004,374.818534272,2477.162722176,2494.785596688,288.9750591360001,270.84132230399996
2020-08-05,477.672304032,3094.384416192,315.55912852800003,2.0,5426.8387096774195,73.27682105663608,35.67,21.9,98.98,1.05,3.7777777777777777,0.8296227033165013,-0.5583244309018014,16.5,94.26666666666667,6.72,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,2,2020,summer,0,361.48576176,488.57963961600007,2694.3058791359995,2410.800648624,291.952269216,289.530289152
2020-08-06,386.69038214399995,2619.665602272,349.61991508799997,2.0,5426.8387096774195,73.27682105663608,35.67,23.25,88.9,1.53,9.11111111111111,0.3747684118198408,-0.9271184592607539,3.0,58.10457516339869,8.49,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,3,2020,summer,0,477.672304032,318.067079184,3094.384416192,2507.994277056,315.55912852800003,275.82621984
2020-08-07,327.03278184,3425.654536704,550.8125615519999,2.0,5426.8387096774195,73.27682105663608,35.67,21.51,92.32,1.15,3.7777777777777777,-0.5531007711735041,-0.8331143600534533,0.5,80.27826086956522,5.02,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,4,2020,summer,0,386.69038214399995,289.11891384,2619.665602272,1764.1582991999999,349.61991508799997,269.49919204800005
2020-08-08,233.77576752000004,6195.49409232,414.29990419200004,2.0,5426.8387096774195,73.27682105663608,35.67,21.62,97.41,1.81,4.5,0.9948453729155919,0.10140356989986493,3.22,53.817679558011044,5.43,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,5,2020,summer,0,327.03278184,335.6038638720001,3425.654536704,2248.5653631360005,550.8125615519999,256.17818188800004
2020-08-09,373.31942256,5573.393399952,461.99584972800005,2.0,5426.8387096774195,73.27682105663608,35.67,28.53,68.91,4.87,6.083333333333333,-0.2789911060392289,-0.9602936856769432,2.0,14.149897330595481,5.07,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,6,2020,summer,0,233.77576752000004,211.096391328,6195.49409232,2375.0562697920004,414.29990419200004,254.15883936
2020-08-10,359.510666112,5955.213227904001,517.026036096,2.0,5426.8387096774195,73.27682105663608,35.67,23.66,96.57,1.16,6.416666666666667,0.9808872950083781,0.19457675732509017,8.0,83.25,10.19,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,0,2020,summer,0,373.31942256,235.21018248000004,5573.393399952,2477.162722176,461.99584972800005,288.9750591360001
2020-08-11,342.567039024,5383.325781504,578.74925304,2.0,5426.8387096774195,73.27682105663608,35.67,24.66,85.24,1.87,4.944444444444445,-0.7305199378266384,-0.6828913679625511,15.0,45.582887700534755,10.97,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,1,2020,summer,0,359.510666112,361.48576176,5955.213227904001,2694.3058791359995,517.026036096,291.952269216
2020-08-12,483.31381752,2531.0016230399997,433.16520912,2.0,5426.8387096774195,73.27682105663608,35.67,26.93,80.97,1.68,3.1111111111111107,-0.5836829377810119,-0.8119816673689914,0.0,48.19642857142857,20.28,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,2,2020,summer,0,342.567039024,477.672304032,5383.325781504,3094.384416192,578.74925304,315.55912852800003
2020-08-13,392.11721308799997,2330.7849115199997,394.0581468959999,2.0,5426.8387096774195,73.27682105663608,35.67,28.04,80.66,2.11,3.2499999999999996,-0.17725651215998356,-0.9841646858615064,0.0,38.22748815165877,22.44,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,3,2020,summer,0,483.31381752,386.69038214399995,2531.0016230399997,2619.665602272,433.16520912,349.61991508799997
2020-08-14,216.17271633599998,3993.78810312,265.65677524800003,2.0,5426.8387096774195,73.27682105663608,35.67,30.78,65.71,4.07,4.25,-0.9948453729155919,0.1014035698998647,0.0,16.144963144963143,19.07,0.0,0.0,46.03225806451613,3095.7419354838707,,5426.8387096774195,0.0,0.9853483238359259,0.014651676164074132,0.0,0.0,0.0,1,영동,8,4,2020,summer,0,392.11721308799997,327.03278184,2330.7849115199997,3425.654536704,394.0581468959999,550.8125615519999
