scenario,description,SOx_current,SOx_optimal,SOx_reduction_pct,NOx_current,NOx_optimal,NOx_reduction_pct,먼지_current,먼지_optimal,먼지_reduction_pct,current_utilization,optimal_utilization,current_gen_mwh,optimal_gen_mwh,social_cost_saving_krw,replacement_cost_krw
A_summer_stagnation,여름 고온·고습·저풍속 (대기정체일),628.0298461914062,521.595458984375,16.947345393294093,2474.42236328125,2229.700927734375,9.890042992593955,822.9967041015625,370.5657653808594,54.97360274542127,0.6558412830819914,0.45,8788.0,6084.0,922846.0,144710379.29823512
B_winter_cold,겨울 저온·건조·강풍 (난방수요 피크),680.9122924804688,526.8428344726562,22.626916815755944,2348.6298828125,2204.523193359375,6.1357768845449705,1170.7144775390625,946.239501953125,19.17418635308946,0.6558412830819914,0.45,8788.0,6084.0,556827.0,144710379.29823512
C_solar_max,"태양광 최대 발전일 (맑은 여름날, 석탄 감발 여력)",690.2310180664062,577.3461303710938,16.354652969891884,2428.98779296875,2178.454833984375,10.314294691377158,822.9967041015625,374.41436767578125,54.505969974142644,0.6558412830819914,0.45,8788.0,6084.0,935486.0,144710379.29823512
D_wind_max,"풍력 최대 발전일 (저기압·전선 통과, 강풍·흐림)",742.8402099609375,581.5068359375,21.718449251948986,2402.80126953125,2222.62744140625,7.498490632983108,659.3331909179688,422.99774169921875,35.84461581400257,0.6558412830819914,0.45,8788.0,6084.0,646415.0,144710379.29823512
E_spring_dust,봄 황사 잔류·약풍 (초미세먼지 주의보 지속),545.3214721679688,385.1969909667969,29.363318587948555,2482.24755859375,2240.172607421875,9.75224853515481,822.9967041015625,370.5657653808594,54.97360274542127,0.6558412830819914,0.45,8788.0,6084.0,944054.0,144710379.29823512
F_winter_stagnation,"겨울 대기정체 (계절관리제 시행기간, 12~3월)",510.9686279296875,368.99481201171875,27.78523145211671,2374.263671875,2165.471923828125,8.793957912938469,762.6123046875,461.6472473144531,39.465014598259735,0.6558412830819914,0.45,8788.0,6084.0,747456.5,144710379.29823512
G_renewable_peak_spring,"봄·가을 이행기 신재생 우세 (태양광+풍력 합계 최대, 석탄 감발 압력)",706.1361083984375,572.1135864257812,18.97970099229567,2422.311279296875,2242.13720703125,7.438105655765439,784.49365234375,387.9241027832031,50.55102082416567,0.6558412830819914,0.45,8788.0,6084.0,756140.0,144710379.29823512
H_summer_peak,폭염·냉방수요 피크 (전력 계통 최대 급전 요구),618.2124633789062,506.34844970703125,18.09475225725316,2468.99365234375,2224.272216796875,9.911788769265058,822.9967041015625,370.5657653808594,54.97360274542127,0.6558412830819914,0.45,8788.0,6084.0,925560.5,144710379.29823512
